"Fold","WAE","Time Elapsed"
1,1969.74113541182,35.23
2,1379.4984389176,34.08
3,1389.01516991379,34.77
4,1551.01253294136,35.29
5,2080.00882381693,36.63
6,1642.34724611314,35.84
7,1688.45468841751,36.33
8,1392.11019526131,36.51
9,1413.8207980572,36.51
10,1425.9456687035,36.78
