"Fold","WAE","Time Elapsed"
1,2045.24320340269,7.85
2,1466.91230301367,7.78
3,1449.85194618515,8.1
4,1593.99791812208,8.03
5,2324.49582822602,8.27
6,1677.48322423495,8.44
7,1722.27395558347,8.58
8,1428.21229049081,8.88
9,1443.96000246143,8.97
10,1444.65594331374,8.97
