"Fold","WAE","Time Elapsed"
1,2042.4014879137,46.49
2,1440.08325750917,46.17
3,1434.71560907119,49.16
4,1596.98769866104,50.17
5,2327.63783158924,52.98
6,1674.18487212814,54.41
7,1718.57695985674,55.34
8,1420.8170833304,56.76
9,1430.80080312055,58.42
10,1447.03366731835,1.03
