"Fold","WAE","Time Elapsed"
1,1935.14545623379,1.52
2,1365.79676981424,1.42
3,1387.56992462382,1.55
4,1529.8475699026,1.57
5,2085.94699193604,1.68
6,1632.6149549998,1.57
7,1683.19606787163,1.69
8,1403.01438667266,1.71
9,1419.49217871244,1.71
10,1433.45693860256,1.65
