"Fold","WAE","Time Elapsed"
1,2121.98876235379,1.82
2,2410.79470104996,1.91
3,2264.32183367691,2.03
4,2611.22198515025,2.16
5,5270.2642730286,2.27
6,4708.30550152986,2.39
7,2328.14452980061,2.49
8,2004.15635219873,2.58
9,2338.6616846779,2.69
10,2479.37612025915,2.79
