"Fold","WAE","Time Elapsed"
1,2042.4014879137,36.78
2,1440.08325750917,35.34
3,1434.71560907119,36.03
4,1596.98769866104,36.12
5,2327.63783158924,36.1
6,1674.18487212814,36.99
7,1718.57695985674,37.73
8,1420.8170833304,36.66
9,1430.80080312055,37.46
10,1447.03366731835,38.59
