"Fold","WAE","Time Elapsed"
1,1935.14545623379,48.34
2,1365.79676981424,46.42
3,1387.56992462382,48.13
4,1529.8475699026,49.98
5,2315.94801169808,52.69
6,1632.6149549998,54.25
7,1683.19606787163,55.51
8,1403.01438667266,56.07
9,1419.49217871244,58.04
10,1433.45693860256,59.73
