"Fold","WAE","Time Elapsed"
1,2042.4014879137,34.42
2,1440.08325750917,34.08
3,1434.71560907119,34.44
4,1596.98769866104,35.24
5,2095.10904729253,59.77
6,1674.18487212814,36.1
7,1718.57695985674,36.33
8,1420.8170833304,36.44
9,1430.80080312055,36.15
10,1447.03366731835,36.95
