"Fold","WAE","Time Elapsed"
1,1935.14545623379,47.17
2,1365.79676981424,47.02
3,1387.56992462382,49.85
4,1529.8475699026,51.75
5,2315.94801169808,53.16
6,1632.6149549998,53.87
7,1683.19606787163,55.67
8,1403.01438667266,57.38
9,1419.49217871244,59.78
10,1433.45693860256,1.02
